Category|Title|Snippet
Business|British Steel buyer will cut up to 500 jobs if takeover goes ahead|The Chinese firm buying British Steel will cut up to 500 jobs if it concludes the takeover, after talks with trade unions about pay and conditions. Br …
Sport|Chess: Fabiano Caruana leads Magnus Carlsen by a point as Wijk end nears|Summary: Fabiano Caruana, the world No 2 who narrowly lost the title match to Magnus Carlsen at London 2018, is well placed to gain some revenge as the America …
Business|Hawkin's Bazaar toy chain collapses into administration|Summary: Toy chain Hawkin’s Bazaar has become the latest retailer to collapse into administration, putting nearly 200 high street jobs at risk. The Norwich-bas …
Sport|'It's a hard and challenging sport': inside the world of competitive cheerleading|Lizzie Williams describes watching Netflix’s new cheerleading documentary, Cheer, as surreal. It was the first time the 26-year-old British cheerleade …
Business|US and Europe clash over climate crisis threat on last Davos day|Summary: The US and Europe have clashed over the threat posed by global heating as Donald Trump’s finance minister downplayed the risks of a climate crisis dur …
Sport|Australian Open: Federer beats Millman, Gauff ousts Osaka – as it happened|Here is the first report from Roger Federer’s incredible win over John Millman. What a match that was and what a day that was. It’s hard to imagine an …
Sport|Six Nations 2020: how will your team perform this year?|Wales go into the first match of this year’s Six Nations as defending champions, having dethroned Ireland at the Millennium Stadium on the final day o …
Business|Davos 2020: Greta Thunberg blasts climate inaction; Lagarde fears Brexit cliff edge - Day Four as it happened|Summary: Instead of a summary, treat yourselves to Larry Elliott’s roundup of what we learned at Davos, including a rather sweet anecdote about Sajid Javid at …
Sport|Talking Horses: Gemmell targets Festival repeat with Paisley|No one likes to be the bearer of bad news. Alas, it fell to the Guardian on Thursday to inform Andrew Gemmell, owner of the champion staying hurdler P …
Politics|Renowned chef refused residency after living in UK for 23 years|A two Michelin-starred chef who has been in the UK for 23 years says he now feels “unwelcome” after his application to remain in the country after Bre …
Politics|'Fantastic moment': Boris Johnson signs Brexit withdrawal deal|Boris Johnson has formally signed the EU withdrawal agreement, smiling as he described it as a “fantastic moment” for the country. His enthusiasm came …
Politics|Labour leadership: Unite backs 'brilliant' Rebecca Long-Bailey|Summary: Labour leadership contender Rebecca Long-Bailey has won the endorsement of the Unite trade union, taking her one step closer to the members’ ballot. U …
Sport|Tennis Australia treads warily for Margaret Court’s slam anniversary|The Australian Open is paying tribute to Margaret Court on the 50th anniversary of her calendar year grand slam. Events are running throughout the for …
Politics|Seamus Mallon obituary|Seamus Mallon, who has died aged 83, was deputy leader of the Social Democratic and Labour party (SDLP) in Northern Ireland from 1979 to 2001, and lat …
Sport|Australian Open: Nick Kyrgios beats Khachanov in five-set thriller – as it happened|Finally, here is Russell Jackson on Nick Kyrgios’ incredible victory. Thanks for following another crazy night finish. Until tomorrow. Another crazy d …
Sport|Ben Stokes escapes ban over ‘audible obscenity’ after row with supporter|Ben Stokes has escaped a ban for swearing at a supporter on the opening day of the fourth Test against South Africa, after accepting a level one charg …
Business|BP looks to charismatic oil man to lead response to climate crisis|It has been almost 10 years since BP was mired in the largest marine oil spill in history, following the explosion at the Deepwater Horizon rig in the …
Sport|Mark Wood shines with bat and ball as England dominate South Africa|With a potent mix of flamboyant batting and superbly disciplined bowling, England ruthlessly tightened their grip on the series against an increasingl …
Sport|Nathan Hughes inspires convincing Bristol victory over Gloucester|Premiership clubs were quick to welcome the demotion of Saracens but they are appreciably slower to fill the vacuum at the top of the table left by th …
Sport|Paisley Park odds-on for Cheltenham’s Stayers Hurdle after Trials Day win|Paisley Park went odds-on with most firms for a second Stayers Hurdle success after winning on Trials Day here with a performance that suggests he is …
Business|If you love Australia, climate change should scare the hell out of you|I love Australia. It’s not a thing you hear too often from progressives. Mostly this is because we don’t go in for the pathetic jingo-nationalist, qua …
Sport|The new faces who can make an impact at the 2020 Six Nations|The players George Furbank (England) The 23-year-old Northampton full-back has had a breakthrough season at Franklin’s Gardens having already equalled …
Sport|Wayne Pivac set to give Wales more exciting style of Six Nations play|The last time Wales hired a former policeman as head coach he used the skills he had learned on the beat in New Zealand to trap a player who claimed t …
Politics|Fresh doubts cast over John Bercow’s peerage as bullying claims resurface|John Bercow’s prospects of being elevated to the House of Lords were further undermined last night after a retired senior parliamentary official claim …
Business|War, virus, recession … nothing can stop the tech giants from growing|Even in our age of tech billionaires, Elon Musk’s potential pay packet from Tesla is eyecatching. If the Californian carmaker’s average market value s …
Sport|Coco Gauff's fairytale run at Australian Open ended by Sofia Kenin|It’s tough being a young American tennis prodigy – especially when there is a younger version across the net, so Sofia Kenin’s win over Coco Gauff on …
Business|Britain’s tax on tech titans may be the key to cutting them down to size|Summary: When US treasury secretary Steven Mnuchin threatens to impose tariffs on a country’s car industry if it taxes American tech giants, you are inclined t …
Business|Brexit Britain may soon find itself sinking faster than Venice|One of the privileges of my trade is that the best seminars often take place in the best places. I no longer attend the Davos World Economic Forum but …
Sport|Technology allows us to appreciate Liverpool and Stokes winning in style|When the history comes to be written of this football season, there will be two stories that dominate. The first, barring some kind of bizarre catastr …
Sport|The sorry tale of Saracens still leaves questions to be answered|Summary: There is nothing like a salary-cap crisis for holding the mirror up to each and every one of us. In a not-dissimilar effect to that of Brexit, our opi …
Sport|Six Nations united in change and ready to attack new challenges|It is just under three months since the World Cup, little enough that a lot of players and coaches are still reckoning with where it went wrong, long …
Politics|Farewell, Europe: the long road to Brexit|Summary: Last week, with the end of the UK’s 47-year membership of the club of European nations just days away, I looked back at some newspaper cuttings from m …
Politics|The nation now leaving platform one … views from the Eurostar on Brexit|I am taking the 8.55am Eurostar train from London to Amsterdam via Brussels on a foggy morning in the last days before the UK leaves the European Unio …
Sport|Luther Burrell: ‘I’m miles ahead compared to where I was last year’|With players such as Sonny Bill Williams and George Burgess readying themselves for their eagerly anticipated debuts next weekend, there has perhaps n …
Politics|Brexit: Heseltine says celebrations rub remainers' noses in it|The Tory peer and former deputy prime minister Lord Heseltine has accused Boris Johnson of trying to “rub the noses of Remainers in their defeat”, aft …
Sport|Sportwatch: Hurricanes home in BBL runfest, seven goal A-League thriller - as it happened|Pretty happy I stuck around for that in the end - a record runscoring match in the BBL, as after Matthew Wade posted the second biggest individual Big …
Business|‘Beales is part of our history’: shoppers on landmark store’s woes|Edna Southworth and Lis Gray were clutching half-price bedclothes and duvets as they left the Beales department store in Bournemouth. But their mood w …
Sport|Australian Open: Federer through to last eight, Barty beats Riske – as it happened|It’s hard to see either of tonight’s big winners, Federer or Barty, bringing it home. But it’d be hard to complain if either did, and both will be bet …
Business|Rogue energy brokers 'con small businesses out of £2bn a year'|Small businesses are being conned out of £2bn by rogue “energy brokers” who lock them into long-term bad-value gas and electricity contracts, accordin …
Sport|Mark Wood claims five before England set South Africa target of 466 to win|Summary: The third innings in a match such as this can be a bit dull. A ballast of 217 runs after declining to enforce the follow-on usually results in hours o …
Business|Reiss reports jump in global Christmas sales as it seeks a buyer|The upmarket fashion chain Reiss, said to be a favourite of the Duchess of Cambridge, reported that sales jumped by a fifth over the Christmas period …
Sport|Aggrieved Twiston-Davies puts Bristol De Mai firmly on course for Gold Cup|Bristol De Mai is being underestimated once more, Nigel Twiston-Davies said on Sunday as he reflected on the grey’s effort in Saturday’s Cotswold Chas …
Sport|Paul Collingwood insists Jos Buttler will be ‘backed to the hilt’|Paul Collingwood, England’s assistant coach, has backed Jos Buttler to thrive despite the wicketkeeper’s desperate Test series against South Africa. B …
Politics|UK's smart motorways to be reviewed after huge rise in near-misses|Britain’s network of smart motorways – where drivers can use the hard shoulder – is being urgently reviewed by the government after it was discovered …
Business|Cow & Gate and Tesco recall baby food over tampering fears|Cow & Gate and Tesco are recalling 15 types of baby food jars as a precautionary measure owing to fears that some jars may have been tampered with. Th …
Sport|Lewis Ludlam packed and ready for an England chance against France|Summary: The Six Nations is fast approaching and, for someone, so is a massive opportunity. With the unfortunate Billy Vunipola out of contention following his …
Politics|Keir Starmer: only a federal UK 'can repair shattered trust in politics'|Keir Starmer, the Labour leadership frontrunner, has called for a fully federal UK, devolving power to the nations and regions of England, Scotland, W …
Business|£30bn pension fund: we'll sack asset managers that ignore climate crisis|A £30bn British pension fund has threatened to sack investment managers that do not take action on the climate crisis, criticising the sector as “not …
Sport|'The city is bleeding': LA Lakers fans gather to pay tribute to Kobe Bryant|Kobe Bryant fans from across the city gathered at Los Angeles’ Staples Center to pay tribute to the NBA legend after learning of his death in a helico …
Sport|Basketball legend Kobe Bryant inspired a generation of players|Kobe Bryant, who died on Sunday in a helicopter crash in California at the age of 41, was one of the most accomplished players in league history, an 1 …
Sport|Tell us about your favourite Kobe Bryant moment|Kobe Bryant, the former LA Lakers star and one of the greatest basketball players of all time, has died in a helicopter crash in Los Angeles county. O …
Sport|Gianna Bryant: Kobe's daughter shared his passion for basketball|Gianna Bryant dreamed of following in her father’s footsteps and one day becoming a professional basketball player. On Sunday those dreams were shatte …
Politics|Britain could lose access to EU data after series of scandals|﻿British hopes of maintaining a post-Brexit flow of data with the EU, judged vital for security and the economy, have been thrown into doubt after a b …
Politics|Brexit party MEP drafts two contrasting messages on Brussels vote|The message from the Brexit party MEP John Tennant could hardly have been clearer: Boris Johnson’s departure deal is “a trap” and must be voted down a …
Politics|Keir Starmer accuses Boris Johnson of 'doing a runner' on Huawei|Sir Keir Starmer has accused Boris Johnson of “doing a runner” over the decision on whether to allow Huawei a role in the UK’s 5G infrastructure, as W …
Sport|Kobe Bryant: NBA legend dies in helicopter crash aged 41|The NBA, and much of America, was in shock on Sunday after Kobe Bryant, one of the greatest basketball players in history, died in a helicopter crash. …
Sport|Yes, Ukad needs more powers – but it also needs to catch more drugs cheats|Readers of this column are among the smartest, most brilliant and most knowledgeable sports fans in the country. But here is a question that may fox s …
Sport|Kobe Bryant: tributes paid to LA Lakers star who died in helicopter crash – as they happened|We are closing this blog for the time being. Thanks for reading. Our full story on the death of Kobe Bryant is here: Kobe Bryant was apparently named …
Politics|Britons in EU urge Barnier not to use them as bargaining chips|British citizens in the EU have implored Brussels and London not to make them “a bargaining chip for the second time” in Brexit trade talks. They are …
Politics|Brexit adviser David Frost to lead UK trade negotiations with EU|Boris Johnson has appointed David Frost, his chief Europe adviser, to lead trade negotiations with the EU on his behalf, with no apparent role for Liz …
Politics|Calls for full access to EU markets without alignment 'absurd', says MEP|Any attempt by the British government to seek full access to European markets without alignment was “absurd” and would be voted down, one of Emmanuel …
Sport|Kobe Bryant: six classic moments that made him great|From throwing paper in a trash can, to playground horse games, to high school, college and professional games, you’re bound to hear someone shout ‘Kob …
Politics|What has the EU been up to in the run-up to Brexit?|While the UK parliament has passed the EU withdrawal agreement and argued over whether Big Ben bongs at the moment of Brexit, the European Union has b …
Sport|Kobe Bryant obituary|Kobe Bryant, who has died aged 41 in a helicopter crash, was a basketball phenomenon – a transcendent, if enigmatic, superstar whose rare talent bridg …
Business|Philip Hammond joins British bank OakNorth as adviser|Summary: The former chancellor Philip Hammond has taken his second job since quitting frontline politics last year, joining the British business bank OakNorth …
Politics|Boris Johnson faces backlash from Tory MPs over plan to give Huawei role in building 5G network – as it happened|Boris Johnson has suggested he will arrive at a compromise solution over the decision on whether to let the Chinese company Huawei build parts of the …
Politics|Barnier rejects Johnson's claims over Irish Sea trade checks|The EU has rejected Boris Johnson’s claims that there will be no checks on goods going from Great Britain to Northern Ireland after Brexit, with Miche …
Sport|‘The sky’s the limit for this team,’ says Joe Root after series victory|Joe Root believes England now have a template of how to win the Ashes in Australia next year following their comprehensive 3-1 series victory in South …
Business|Huawei should get a limited 5G role – the US trade deal can wait|Summary: Should Chinese firm Huawei’s kit be banned from the UK’s 5G network? As with HS2, Boris Johnson is guaranteed to end up infuriating one side of the ar …
Politics|Britons in Wuhan will be offered help to leave, Hancock tells MPs|Summary: Up to 200 British citizens trapped in Wuhan will be offered repatriation to the UK, Matt Hancock has said, as cases of coronavirus continued to mount …
Politics|'Door' Matt an inspired choice to take the Huawei hit|Summary: Alas poor Baroness Morgan of Cotes. Just imagine Lady Nicky’s distress at being prevented from answering an urgent question on Huawei by her elevation …
Sport|Mourn Kobe Bryant or don't: but mourn the whole, flawed man|Mourn him because he was transcendent on the court. Mourn him because he was so young when he was killed on Sunday, just 41, embarking on a post-baske …
Sport|Faf du Plessis could face ICC charge after clash with Buttler and Broad|Summary: Faf du Plessis has said there was no malicious intent when he shoulder-barged England’s Jos Buttler during an incident on the fourth and final day of …
Politics|Highways England's smart motorways policy killed drivers, says ex-minister|The ex-minister who signed off Britain’s smart motorways has called for the rollout of the scheme to be halted immediately, and accused Highways Engla …
Sport|Australian Open: Kyrgios wins hearts but ruthless Nadal takes the spoils|Irrepressible but outmatched, Nick Kyrgios departed the Australian Open with a fourth-round defeat at the hands of world No1 Rafael Nadal, who took th …
Politics|Labour defeat due to gimmicks and division, say members|Gimmicky policies, horrible inefficiency and factional promotions are among the catalogue of errors behind Labour’s dismal performance at the general …
Sport|Kobe Bryant: Washington Post reporter suspended after sexual assault case tweet|The Washington Post has suspended a journalist after she tweeted about Kobe Bryant’s historical sexual assault case shortly after the basketball playe …
Sport|Martina Navratilova takes fight on-court for name change to Evonne Goolagong Arena|Summary: Martina Navratilova was cut off in mid-sentence when she climbed into an empty umpire’s chair on an outside court here on Tuesday to push for Margaret …
Sport|Spotlight intensifies but semi-finalist Ashleigh Barty remains grounded|If she chose, Ashleigh Barty could run for Prime Minister tomorrow and probably win. But the quiet Queenslander with the nation willing her on to beco …
Politics|Brexit weekly briefing: Boris Johnson's 'fantastic moment' arrives|Summary: Welcome to the penultimate Guardian weekly Brexit briefing – after more than three and a half years and nearly 170 instalments, this newsletter will l …
Business|Airbus agrees deal on bribery investigations in UK, US and France|Airbus has agreed a settlement with French, British and US authorities over investigations into allegations of bribery and corruption that could resul …
Politics|'Get Ready for Brexit' campaign had little effect, says watchdog|Boris Johnson’s government spent £46m on a “Get Ready for Brexit” campaign in October, but demonstrated little evidence it left the public better prep …
Sport|Share your views on sports banter in the workplace|Ann Francke, head of the Chartered Management Institute, has said sports banter in the office can make women feel ostracised. Speaking to the BBC’s To …
Sport|Drought in southern Africa means cricket must look hard in the mirror|Evan Flint has his feet up, at last. It is day four of the final Test between England and South Africa and, as chief groundsman, all he can do is watc …
Politics|Have you got Brexit concerns not addressed by the government website?|There has been so much noise and publicity about the threat of a no deal Brexit, many have been left confused about what actually happens on 31 Januar …
Sport|Roger Federer saves seven match points en route to semi with Djokovic|Roger Federer has had many improbable victories in his career, and a smattering of unusual defeats, but his passage into the semi-finals of the 2020 A …
Sport|Big series win for England vindicates Chris Silverwood’s fresh approach|The opposition was never formidable but England’s predicament was. After the defeat at Centurion in the first Test the wheels were coming off. A flu e …
Sport|Super League 2020 team-by-team guide: storms set to accompany Folau|Summary: Castleford Tigers Last season 5th Coach Daryl Powell Captain Michael Shenton They do not have the strongest starting 17 in the competition, but Castle …
Business|Third month of flat retail sales as DIY and furniture slump|Retailers were denied a post-election bounce in January following a slump in DIY and furniture sales, according to industry data. The CBI’s monthly di …
Politics|Burgon backs public ownership and  Labour clause IV revamp|Labour deputy leadership contender Richard Burgon is calling for Jeremy Corbyn’s commitments to sweeping renationalisation to be enshrined in a new cl …
Politics|Labour MPs claim party not being even-handed in leadership contest|MPs supporting Keir Starmer and Lisa Nandy in Labour’s leadership battle have accused the party’s hierarchy of handing fellow candidate Rebecca Long-B …
Politics|'Got Brexit Done': Tory party sells £12 tea towel in celebration|Downing Street might be quietly warning Conservative Brexiters against overt triumphalism before Friday’s departure from the EU, but the message has n …
Politics|Dominic Raab unsettles Huawei opponents by being nice for once|Move along. Nothing to see here. Dominic Raab usually prepares for an afternoon statement in the Commons by pumping iron in the gym. Only once his nec …
Politics|Labour sends 'insulting' email to defeated candidates|The Labour party has emailed its defeated general election candidates, six weeks after the poll, to officially commiserate with them and send advice a …
Sport|England’s Six Nations plans ‘unaffected by Saracens elephant in room’|England’s players insist they have now dealt with the “elephant in the room” despite the latest sanction doled out to Saracens for salary cap offences …
Politics|Wales to ban parents smacking their children from 2022|A move to ban parents from smacking children has been approved by the Welsh assembly and is expected to come into force in 2022 following a £2m awaren …
Sport|Controversial Nike Vaporflys to escape ban but running shoe rules will tighten|World Athletics will not be imposing a blanket ban on the controversial hi-tech Nike Vaporflys that have transformed athletics when it announces its l …
Politics|Huawei decision 'like allowing KGB to build UK phone network' in cold war, says US senator - live news|Summary: The UK foreign secretary, Dominic Raab, has defended the government’s decision to allow the Chinese tech firm Huawei to build non-core elements of the …
Business|Ovo Energy to pay £8.9m after sending inaccurate bills|Ovo Energy is to pay £8.9m after the energy watchdog uncovered a series of issues including misbilling more than 500,000 customers for three years. Of …
Politics|The Britons getting out before Brexit ‘drawbridge’ goes up|Summary: Campaigners for the rights of British nationals in Spain have reported a rise in the number of inquiries from people rushing through plans to establis …
Sport|Super Rugby braces itself for most important season in professional era|Summary: In his 1961 inaugural address, US president John F Kennedy challenged every American to contribute to the greater good with the inspirational words: “ …
Business|Boeing puts cost of 737 Max crashes at $19bn as it slumps to annual loss|Boeing has put the total cost of the two deadly crashes of its 737 Max airliners at nearly $19bn (£14.6bn) and slumped to its first annual loss in mor …
Politics|Tory MP criticised over plan to speak at event with far-right figures|Summary: A Conservative MP is facing criticism for planning to speak alongside some of Europe’s leading hard-right, anti-immigration figures including the Hung …
Business|Lloyds group to close 56 more branches across UK this year|Lloyds Banking Group is closing 56 more branches this year, blaming “changing customer behaviour” for the decision. The group will shut 31 Lloyds, 10 …
Sport|Jofra Archer ruled out of T20 series in South Africa with elbow injury|Jofra Archer has been ruled out of the three-match Twenty20 series in South Africa next month and must now be considered a major doubt for the two-Tes …
Politics|Brexit: MEPs approve withdrawal agreement after emotional debate and claims UK will return - as it happened|MEPs have voted overwhelmingly to approve the withdrawal agreement, clearing one of the last remaining hurdles in the process that will see the UK lea …
Politics|Brexit: MEPs ratify UK withdrawal agreement|Britain’s departure from the EU on 31 January was set in stone in a historic moment for the nation as MEPs in Brussels ratified the withdrawal agreeme …
Sport|Russian athletes face blanket ban at Tokyo 2020 unless Rusaf admits lies|Russia has been warned that its track and field athletes face a blanket ban from the Tokyo Olympics – unless it accepts senior officials forged docume …
Sport|NFL commissioner Goodell expresses concern for Antonio Brown's wellbeing|The NFL commissioner, Roger Goodell, has expressed concern for the health of Antonio Brown after a string of troubling incidents involving the wide re …
Politics|Boris thought being PM would be a triumph – but it's all downhill from here|There’s something post-coital about Boris Johnson these days. He appears distracted, disappointed. On the verge of boredom. Even when he rouses himsel …
Business|UK electric van maker Arrival secures £340m order from UPS|Summary: Electric van maker Arrival has secured a €400m (£339m) order for 10,000 vehicles from United Parcel Service (UPS), the US delivery company, in the lat …
Politics|Rebecca Long-Bailey calls on rivals to back public ownership|Labour’s Rebecca Long-Bailey is challenging leadership hopefuls to back the nationalisation of key utilities in what could be seen as an attempt to te …
Politics|'Over and out': emotional British MEPs attend final EU debate|The result was never in doubt. The European parliament voted for the Brexit withdrawal agreement on Wednesday, sealing the UK’s divorce from the Europ …
Sport|Roger Federer leans on recent history for Novak Djokovic semi-final|Roger Federer has returned from hell twice this week, yet he is still smiling, refusing to panic, and says: “I believe until the end.” Even the 38‑yea …
Sport|Navratilova and McEnroe say sorry but it’s time Margaret Court did the same|Martina Navratilova and John McEnroe, for once, had nothing of substance to apologise for. Nevertheless, two of the most outspoken voices in tennis, w …
Politics|Britons in EU remain fearful of post-Brexit healthcare and pension provisions|Summary: British citizens living in the EU remain confused and worried about their post-Brexit healthcare and pension provision, despite the fact that both iss …
Business|British car manufacturing slumps to lowest level since 2010|British car manufacturing slumped to its lowest level since 2010 last year, as carmakers faced up to the decline of exports to major markets and Brexi …
Business|UK economy close to turning point on eve of leaving EU|Britain’s economy is close to a turning point as the country prepares to formally leave the EU after almost half a century of membership, according to …
Business|How has Brexit vote affected UK economy? January verdict|Brexit risks remain for sterling The pound has erased the gains made after Boris Johnson’s Conservatives won the biggest majority in more than 30 year …
Business|Is uncertainty lifting now Brexit is finally happening? Experts debate the data|Andrew Sentance Senior adviser to Cambridge Econometrics and member of the Bank of England’s monetary policy committee 2006-11 As we approach the form …
Sport|Ash Barty keeps perspective after heartbreaking exit from Australian Open|Putting things in perspective has never been a problem for Ash Barty, whose down-to-earth attitude has been a major factor in her ascent to the top of …
Sport|Australian Open semi-finals: Muguruza beats Halep, Kenin stuns Barty – as it happened|Summary: And here’s more on Ash Barty’s exit: So, Garbiñe Muguruza will play Sofia Kenin in Saturday’s women’s singles final at Melbourne Park. That might not …
Sport|Saudi golf bonanza may spark moves towards a global circuit|We should know better than to expect proper analysis of a hideous cash grab by some of the world’s most high-profile golfers – Phil Mickelson, Brooks …
Sport|Kobe Bryant brilliance, Super Bowl showreels and Six Nations memories|1) Kobe Bryant’s death shocked the sporting world. A highlights package here can barely do his talents justice but here’s a sample. We start with a yo …
Sport|Talking Horses: weighty problem over Tiger Roll and the Grand National|Tiger Roll’s chance of winning a third Grand National hangs in the balance and will do so until the weights are unveiled for the famous race at a cere …
Politics|Labour condemns government for praising Trump Middle East plan|Labour has condemned the government for praising Donald Trump’s vision for Middle East peace, with the shadow foreign secretary, Emily Thornberry, cal …
Politics|UK goods to face extra checks at borders under PM's Brexit plans|British firms will face extra paperwork and checks on goods at cross-channel borders under Boris Johnson’s proposals for post-Brexit trade. The prime …
Sport|Garbiñe Muguruza and Sofia Kenin rip up script to reach Australian Open final|Summary: If tennis were a movie, the script would be ripped up on an almost daily basis. At the start of the tournament, Serena Williams was supposed to tear t …
Sport|Roger Federer bows to injury and Djokovic but winning belief remains|Time is the enemy of all sportsmen and women, and as Roger Federer exited the Australian Open on Thursday night the thought must have crossed his mind …
Business|Bank of England holds UK interest rates; US misses Trump's growth target — as it happened|Finally, the FTSE 100 has ended another bad day deep in the red. The blue-chip index shed 101 points, or 1.36%, to end at 7,381. Coronavirus worries w …
Politics|Parliament's 'bullying culture' now over, says new Speaker|A “bullying culture” in parliament is now over, the new Commons Speaker, Lindsay Hoyle, has said in a veiled criticism of his predecessor, John Bercow …
Politics|Sub Dom shrinks in the face of Big Mike’s stage-managed bantz|Not so much a conversation, more a therapeutic intervention for two men with massive anger management issues. A public mediation session where Dominic …
Politics|Sajid Javid set to back HS2 at crunch meeting - as it happened|Thanks for following the blog today and all your comments. I’m going to leave you with an afternoon summary: The US secretary of state, Mike Pompeo, h …
Politics|Keir Starmer calls on government to give EU citizens voting rights|Keir Starmer has called for all EU nationals in the UK to be given full voting rights as the clock ticks down to Brexit. The Labour leadership hopeful …
Business|Taken for a ride: how Norton Motorcycles collapsed amid acrimony and scandal|Summary: When the classic British motorcycle marque Norton slumped into administration on Wednesday afternoon, the news was framed in the habitual way of a sta …
Sport|Darren Gough’s coaching transformed my bowling, says England’s Mahmood|Summary: Saqib Mahmood is looking to hit the 90mph mark during the upcoming white-ball fixtures in South Africa after feeling the benefit of Darren Gough’s sho …
Business|Bank warns PM over Brexit plan as it keeps interest rates at 0.75%|The Bank of England has warned Boris Johnson on the eve of leaving the EU that his Brexit plan stands to drag down Britain’s economic potential, after …
Sport|Six Nations is a time to enjoy all Europe’s little differences|These are changing times – politically, environmentally, societally – but some things remain resolutely the same. Come rain or shine, for richer or po …
Politics|Huge surge in Britons applying for non-UK passports|The number of British citizens who have applied to acquire the nationality of another EU member state has surged since the Brexit referendum, data sho …
Politics|Rollout of smart motorways put on hold amid safety concerns|Summary: A national rollout of smart motorways has been put on hold by transport secretary, Grant Shapps, after they were linked with an increase in the number …
Business|BT will hope to turn Huawei pain into gain by calling in favours|Boris Johnson’s qualified approval of Huawei’s 5G kit was “an important clarification”, said BT, putting a positive gloss on a decision it says will c …
Sport|George Furbank eyes England debut after Anthony Watson injury blow|England have been handed a major blow before the start of their Six Nations campaign after Anthony Watson was ruled out of Sunday’s match against Fran …
Business|Transvaginal mesh: Johnson & Johnson fined $344m for deceptive marketing to women|A California judge has ordered Johnson & Johnson to pay nearly $344m in penalties for deceptively marketing pelvic mesh devices for women, as the stat …
Politics|'The irony is we got things right by 2015': UK's Brussels envoys on Brexit|As the sun goes down on the UK’s last day as a member state of the European Union, the familiar flag of gold stars on a blue background will be lowere …
Politics|Trump will insist NHS pays more for drugs in trade deal, says ambassador|Donald Trump will put the interests of corporate America first and demand that the NHS pays higher prices for US drugs in a free-trade deal with the U …
Politics|Brexit day events: what is happening in the UK on 31 January?|On 31 January, the UK is leaving the European Union after three-and-a-half long years of political turmoil. Some will be celebrating the turning of a …
Business|'Ridiculous': Thomas Cook customers still waiting for refunds|Thousands of Thomas Cook customers are still waiting to be compensated four months after the travel group collapsed, leaving 650,000 holidaymakers wit …
Politics|How are you feeling about Brexit day?|Summary: The UK will officially leave the European Union at 11pm on Friday. A countdown clock will be projected on to No 10 and a celebration in Parliament Squ …
Politics|Why Brexit is a chance to fix the UK economy’s long-term problems|A new era has begun for the UK. As the outgoing governor of the Bank of England, Mark Carney, noted this week, Britain has entered a decade of potenti …
Politics|Leavers’ Brexit night bash sounds like a Question Time from hell|Monday A YouGov survey has found that 82% of Brits are in favour of reintroducing wild animal species that have been lost to the UK. Not unexpectedly, …
Politics|Keir Starmer: Labour should argue for return of free movement|Summary: Sir Keir Starmer has said he would argue for the reintroduction of EU free movement after Brexit, if he becomes Labour’s next leader. The shadow Brexi …
Politics|Boris Johnson to host Downing Street party to celebrate Brexit|Boris Johnson will host a party in No 10 for cabinet ministers and pro-Brexit advisers at which guests will toast the UK’s departure from the EU with …
Politics|Brexit supporters three and a half years on: 'It's been tortuous'|Summary: The day after the EU referendum result, on Saturday 25 June 2016, the Daily Mail’s front page featured a photograph of jubilant Brexit supporters in P …
Sport|Six fans preview the Six Nations|England How will your team perform? I’d love England to pick up where we left off against the All Blacks, but realistically I suspect we’ll struggle t …
Politics|‘Just gutted’: Eurostar passengers in Paris reflect on Brexit day|Some were still seething; others simply resigned. Most were frankly nonplussed about why on earth this thing was even happening. But only a very few, …
Politics|David Cameron has made £1.6m since Brexit vote in 2016|David Cameron has made more than £1.6m since he quit as prime minister following the Brexit vote in 2016. The accounts for the Office of David Cameron …
Politics|UK will not be pushover in Brexit talks with EU, says Michael Gove|Michael Gove has laid down the gauntlet to EU negotiators signalling the UK government’s intent not to concede ground in talks to secure a trade deal …
Business|Eurozone growth slows sharply as French and Italian economies shrink – as it happened|Time for a quick recap Growth in the eurozone has almost fizzled out in the last quarter, hit by weak internal demand and a slowing global economy. Eu …
Sport|Paralympics: wheelchair basketball risks exclusion in classification row|Wheelchair basketball faces a race against time to guarantee inclusion in the Paralympics, as a row over the classification of athletes’ impairments t …
Politics|Brexit day in pro-leave areas: 'I live in hope it's the right decision'|Birkenhead Arrive at Conway Park railway station and the examples of European funding are all around you. The station itself, opened in 1998 by the th …
Business|Aston Martin to enter F1 from 2021 under £500m rescue deal|Aston Martin has agreed a £500m rescue deal, led by the Canadian billionaire Lawrence Stroll, under which the luxury British car brand will be used by …
Sport|The race to grieve: how social media has made professional mourners of us all|There is a tradition dating back to ancient Egyptian times for professional mourners who would turn up at funerals of people they had never met. They …
Sport|Can Fabien Galthié bring the Six Nations glory days back for France?|Late night on Sunday 16 November 2003, Fabien Galthié was reckoning with the idea that he may just have played the last match of his career. After 17 …
Politics|Brexit is alarm signal for Europe, warns Emmanuel Macron|Emmanuel Macron warned Europeans that Brexit was an “alarm signal” of huge historic significance as the EU flag was hauled from the flagpole outside t …
Sport|England’s opener against France could hold key to back-to back grand slams|This year’s women’s Six Nations begins with the fixture most observers believe will be its defining encounter. France take on England in Pau on Sunday …
Sport|Injury worries Kelce and Coleman will be fit for Chiefs-49ers Super Bowl|The Kansas City Chiefs and San Francisco 49ers are set to go into Sunday’s Super Bowl at full strength, with all 53 active players on each roster part …
Politics|Boris Johnson goes missing in action on his big Brexit day|Just imagine a country about to take a giant leap into the unknown. A future sold on the basis of promises no one is certain can be kept. Now imagine …
